,team_name,league,country,season,transfer_type,player_name,player_url,player_position,player_age,player_nationality,club_2,league_2,country_2,transfer_fee,is_loan,transfer_notes,window,in_squad,appearances,goals,minutes_played
120,Brentford FC,Premier League,England,2021,Departures,Mads Bidstrup,https://www.transfermarkt.com/mads-bidstrup/profil/spieler/462832,Central Midfield,20,Denmark,Nordsjaelland,Superligaen,Denmark,NA,TRUE,loan transfer,Winter,22,8,0,252
121,Brentford FC,Premier League,England,2021,Departures,Dominic Thompson,https://www.transfermarkt.com/dominic-thompson/profil/spieler/503688,Left-Back,21,England,Ipswich,League One,England,NA,TRUE,loan transfer,Winter,18,5,0,411
122,Brentford FC,Premier League,England,2021,Departures,Joel Valencia,https://www.transfermarkt.com/joel-valencia/profil/spieler/175451,Left Winger,27,Ecuador,Alcorcón,LaLiga2,Spain,NA,TRUE,loan transfer,Winter,NA,NA,NA,NA
123,Brentford FC,Premier League,England,2021,Departures,Luka Racic,https://www.transfermarkt.com/luka-racic/profil/spieler/345587,Centre-Back,22,Denmark,HB Köge,1.Division,Denmark,NA,TRUE,loan transfer,Winter,NA,NA,NA,NA
124,Norwich City,Premier League,England,2021,Arrivals,Todd Cantwell,https://www.transfermarkt.com/todd-cantwell/profil/spieler/332341,Left Midfield,24,England,Bournemouth,Championship,England,NA,TRUE,"End of loan May 31, 2022",Winter,13,8,0,440
125,Norwich City,Premier League,England,2021,Arrivals,Jordan Hugill,https://www.transfermarkt.com/jordan-hugill/profil/spieler/291544,Centre-Forward,29,England,West Brom,Championship,England,NA,TRUE,"End of loan Jan 29, 2022",Winter,NA,NA,NA,NA
126,Norwich City,Premier League,England,2021,Arrivals,Onel Hernández,https://www.transfermarkt.com/onel-hernandez/profil/spieler/109751,Left Winger,28,Cuba,Middlesbrough,Championship,England,NA,TRUE,"End of loan Jan 13, 2022",Winter,NA,NA,NA,NA
127,Norwich City,Premier League,England,2021,Arrivals,Josh Martin,https://www.transfermarkt.com/josh-martin/profil/spieler/547534,Left Winger,20,England,MK Dons,League One,England,NA,TRUE,"End of loan Jan 16, 2022",Winter,NA,NA,NA,NA
128,Norwich City,Premier League,England,2021,Arrivals,Sebastian Soto,https://www.transfermarkt.com/sebastian-soto/profil/spieler/605498,Centre-Forward,21,United States,FC Porto B,Liga Sabseg,Portugal,NA,TRUE,"End of loan Jan 25, 2022",Winter,NA,NA,NA,NA
129,Norwich City,Premier League,England,2021,Departures,Todd Cantwell,https://www.transfermarkt.com/todd-cantwell/profil/spieler/332341,Left Midfield,23,England,Bournemouth,Championship,England,NA,TRUE,loan transfer,Winter,13,8,0,440
130,Norwich City,Premier League,England,2021,Departures,Jordan Hugill,https://www.transfermarkt.com/jordan-hugill/profil/spieler/291544,Centre-Forward,29,England,Cardiff,Championship,Wales,NA,TRUE,loan transfer,Winter,NA,NA,NA,NA
131,Norwich City,Premier League,England,2021,Departures,Onel Hernández,https://www.transfermarkt.com/onel-hernandez/profil/spieler/109751,Left Winger,28,Cuba,Birmingham,Championship,England,NA,TRUE,loan transfer,Winter,NA,NA,NA,NA
132,Norwich City,Premier League,England,2021,Departures,Josh Martin,https://www.transfermarkt.com/josh-martin/profil/spieler/547534,Left Winger,20,England,Doncaster,League One,England,NA,TRUE,loan transfer,Winter,NA,NA,NA,NA
133,Norwich City,Premier League,England,2021,Departures,Rocky Bushiri,https://www.transfermarkt.com/rocky-bushiri/profil/spieler/511802,Centre-Back,22,Belgium,Hibernian FC,Premiership,Scotland,NA,TRUE,loan transfer,Winter,NA,NA,NA,NA
134,Norwich City,Premier League,England,2021,Departures,Sebastian Soto,https://www.transfermarkt.com/sebastian-soto/profil/spieler/605498,Centre-Forward,21,United States,Livingston FC,Premiership,Scotland,NA,TRUE,loan transfer,Winter,NA,NA,NA,NA
135,Norwich City,Premier League,England,2021,Departures,Bali Mumba,https://www.transfermarkt.com/bali-mumba/profil/spieler/433186,Right-Back,20,England,Peterborough,Championship,England,NA,TRUE,loan transfer,Winter,8,3,0,203
136,Watford FC,Premier League,England,2021,Arrivals,Samir,https://www.transfermarkt.com/samir/profil/spieler/255744,Centre-Back,27,Brazil,Udinese Calcio,Serie A,Italy,5.00E+06,FALSE,NA,Winter,2,2,0,180
137,Watford FC,Premier League,England,2021,Arrivals,Maduka Okoye,https://www.transfermarkt.com/maduka-okoye/profil/spieler/340353,Goalkeeper,22,Nigeria,Sparta R.,Eredivisie,Netherlands,5.00E+06,FALSE,NA,Winter,NA,NA,NA,NA
138,Watford FC,Premier League,England,2021,Arrivals,Edo Kayembe,https://www.transfermarkt.com/edo-kayembe/profil/spieler/486477,Defensive Midfield,23,DR Congo,KAS Eupen,Jupiler Pro League,Belgium,4700000,FALSE,NA,Winter,2,2,0,180
139,Watford FC,Premier League,England,2021,Arrivals,Hassane Kamara,https://www.transfermarkt.com/hassane-kamara/profil/spieler/290017,Left-Back,27,Cote d'Ivoire,OGC Nice,Ligue 1,France,4.00E+06,FALSE,NA,Winter,3,2,0,174
140,Watford FC,Premier League,England,2021,Arrivals,Samuel Kalu,https://www.transfermarkt.com/samuel-kalu/profil/spieler/424051,Right Winger,24,Nigeria,G. Bordeaux,Ligue 1,France,3.00E+06,FALSE,NA,Winter,0,0,0,0
141,Watford FC,Premier League,England,2021,Arrivals,Yaser Asprilla,https://www.transfermarkt.com/yaser-asprilla/profil/spieler/857818,Attacking Midfield,18,Colombia,Envigado,Liga Dimayor I,Colombia,3.00E+06,FALSE,NA,Winter,0,0,0,0
142,Watford FC,Premier League,England,2021,Arrivals,Nicolas N'Koulou,https://www.transfermarkt.com/nicolas-nkoulou/profil/spieler/60577,Centre-Back,31,Cameroon,Without Club,NA,NA,NA,FALSE,-,Winter,4,3,0,168
143,Watford FC,Premier League,England,2021,Arrivals,Domingos Quina,https://www.transfermarkt.com/domingos-quina/profil/spieler/391719,Central Midfield,22,Portugal,Fulham,Championship,England,NA,TRUE,"End of loan Jan 31, 2022",Winter,NA,NA,NA,NA
144,Watford FC,Premier League,England,2021,Arrivals,Pontus Dahlberg,https://www.transfermarkt.com/pontus-dahlberg/profil/spieler/365544,Goalkeeper,22,Sweden,Doncaster,League One,England,NA,TRUE,"End of loan Jan 13, 2022",Winter,NA,NA,NA,NA
145,Watford FC,Premier League,England,2021,Departures,Domingos Quina,https://www.transfermarkt.com/domingos-quina/profil/spieler/391719,Central Midfield,22,Portugal,Barnsley FC,Championship,England,NA,TRUE,loan transfer,Winter,NA,NA,NA,NA
146,Watford FC,Premier League,England,2021,Departures,Pontus Dahlberg,https://www.transfermarkt.com/pontus-dahlberg/profil/spieler/365544,Goalkeeper,22,Sweden,Gillingham FC,League One,England,NA,TRUE,loan transfer,Winter,NA,NA,NA,NA
147,Watford FC,Premier League,England,2021,Departures,Maduka Okoye,https://www.transfermarkt.com/maduka-okoye/profil/spieler/340353,Goalkeeper,22,Nigeria,Sparta R.,Eredivisie,Netherlands,NA,TRUE,loan transfer,Winter,NA,NA,NA,NA
148,Burnley FC,Premier League,England,2021,Arrivals,Wout Weghorst,https://www.transfermarkt.com/wout-weghorst/profil/spieler/228645,Centre-Forward,29,Netherlands,VfL Wolfsburg,Bundesliga,Germany,1.40E+07,FALSE,NA,Winter,0,0,0,0
149,Burnley FC,Premier League,England,2021,Departures,Chris Wood,https://www.transfermarkt.com/chris-wood/profil/spieler/108725,Centre-Forward,30,New Zealand,Newcastle,Premier League,England,3.00E+07,FALSE,NA,Winter,21,21,3,1557
