Statistic,Per 90,Percentile
Non-Penalty Goals,0.13,24
npxG,0.16,28
Shots Total,1.73,31
Assists,0.22,68
xA,0.26,84
npxG+xA,0.42,59
Shot-Creating Actions,3.50,64
,,
Passes Attempted,30.68,21
Pass Completion %,77.2%,56
Progressive Passes,2.79,32
Progressive Carries,6.02,48
Dribbles Completed,1.42,40
Touches (Att Pen),6.68,91
Progressive Passes Rec,8.15,85
,,
Pressures,23.51,96
Tackles,1.86,81
Interceptions,0.93,52
Blocks,1.33,64
Clearances,0.18,10
Aerials won,1.06,77
