Statistic,Per 90,Percentile
Non-Penalty Goals,0.25,58
npxG,0.11,15
Shots Total,1.52,22
Assists,0.00,1
xA,0.20,68
npxG+xA,0.33,32
Shot-Creating Actions,2.03,6
,,
Passes Attempted,28.35,14
Pass Completion %,77.7%,58
Progressive Passes,1.90,13
Progressive Carries,4.81,24
Dribbles Completed,2.91,93
Touches (Att Pen),5.44,79
Progressive Passes Rec,6.33,49
,,
Pressures,12.41,17
Tackles,1.39,53
Interceptions,0.63,23
Blocks,0.51,6
Clearances,0.25,18
Aerials won,1.01,77
