Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,carriesin_3rd,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
445,Luke Thomas\fc027d02,eng ENG,DF,Leicester City,20-243,2001,11.6,787,48,273,369,186,11,663,8,18,44.4,10,0,451,1772,933,33,14,1,15,13,473,446,94.3,15,Matches
446,Dominic Thompson\235a62f8,eng ENG,DF,Brentford,21-197,2000,1.6,56,8,32,16,11,2,54,0,1,0,0,0,32,97,42,0,0,0,2,0,35,29,82.9,0,Matches
447,Youri Tielemans\56f7a928,be BEL,MF,Leicester City,24-277,1997,15,1069,59,266,598,262,22,1008,10,15,66.7,10,0,708,2446,1463,63,24,4,14,15,818,752,91.9,37,Matches
448,Kieran Tierney\fce2302c,sct SCO,DF,Arsenal,24-248,1997,14.3,839,39,201,367,327,38,726,6,17,35.3,8,1,520,2651,1656,80,24,8,10,5,566,517,91.3,49,Matches
449,Takehiro Tomiyasu\b3af9be1,jp JPN,DF,Arsenal,23-095,1998,15.4,1082,60,344,536,261,17,943,6,11,54.5,6,0,570,2568,1434,56,22,2,18,14,653,597,91.4,23,Matches
450,James Tomkins\e7ca0439,eng ENG,DF,Crystal Palace,32-316,1989,6.1,364,90,254,110,9,8,344,2,2,100,2,0,204,895,383,8,0,0,1,0,244,238,97.5,1,Matches
451,Ivan Toney\e09f279b,eng ENG,FW,Brentford,25-329,1996,21,783,37,111,367,338,90,765,13,26,50,13,2,416,1595,771,35,11,4,58,40,1081,543,50.2,134,Matches
452,Ferrán Torres\9e1035f8,es ESP,FW,Manchester City,21-344,2000,3.4,104,0,5,30,71,28,99,4,5,80,4,0,72,283,93,2,0,2,4,4,125,78,62.4,29,Matches
453,Cenk Tosun\9a104dee,tr TUR,FW,Everton,30-246,1991,0.1,3,0,0,3,0,0,3,0,0,,0,0,2,13,0,0,0,0,1,0,5,2,40,0,Matches
454,Andros Townsend\b28bbd58,eng ENG,MF,Everton,30-207,1991,14.7,642,13,118,264,318,28,598,22,38,57.9,24,0,447,2578,1358,64,23,8,30,25,543,390,71.8,58,Matches
455,Adama Traoré\9a28eba4,es ESP,FW,Wolves,26-014,1996,11.9,497,5,57,232,279,56,495,62,85,72.9,64,1,478,3606,2272,97,31,29,37,35,631,394,62.4,73,Matches
456,Bertrand Traoré\c47541e0,bf BFA,MFFW,Aston Villa,26-155,1995,1.7,88,0,4,47,45,10,86,10,21,47.6,12,4,80,457,184,12,2,4,7,1,103,67,65,14,Matches
457,Trézéguet\3ae14ed1,eg EGY,FW,Aston Villa,27-130,1994,0.1,9,0,0,5,4,1,9,1,1,100,1,0,9,30,12,1,0,0,2,0,13,9,69.2,3,Matches
458,Francisco Trincão\77e39b04,pt POR,FWMF,Wolves,22-041,1999,10.4,474,2,61,229,236,32,458,24,56,42.9,29,10,351,1824,1050,49,18,5,22,18,476,326,68.5,68,Matches
459,Kieran Trippier\21512407,eng ENG,DF,Newcastle Utd,31-142,1990,2,145,11,46,60,45,0,101,0,1,0,0,0,59,154,87,4,2,0,0,2,51,47,92.2,2,Matches
460,William Troost-Ekong\7ed4921e,ng NGA,DF,Watford,28-160,1993,15.3,704,150,466,259,16,4,689,1,2,50,1,0,357,2199,1377,22,2,0,0,0,417,410,98.3,2,Matches
461,Leandro Trossard\38ceb24a,be BEL,FWMF,Brighton,27-066,1994,19.3,956,9,111,374,535,108,920,39,53,73.6,40,0,731,4181,2208,116,29,26,42,57,925,711,76.9,124,Matches
462,Kostas Tsimikas\f315ca93,gr GRE,DF,Liverpool,25-272,1996,6.4,476,24,121,179,210,18,395,5,10,50,5,1,286,1545,832,51,18,6,2,9,308,279,90.6,34,Matches
463,Axel Tuanzebe\2baec6ce,eng ENG,DF,Aston Villa,24-086,1997,5.6,263,41,161,112,7,3,257,0,0,,0,0,155,908,419,4,0,0,2,0,179,172,96.1,1,Matches
464,Ozan Tufan\17d45fb2,tr TUR,MF,Watford,26-322,1995,3.7,151,5,26,87,50,9,141,2,3,66.7,2,0,82,465,194,7,4,1,5,5,125,88,70.4,14,Matches
465,Christos Tzolis\9f333379,gr GRE,FWMF,Norwich City,20-009,2002,3.4,124,3,19,52,60,17,123,0,3,0,0,0,94,570,378,20,6,7,8,4,133,94,70.7,25,Matches
466,Yan Valery\531a4aa8,fr FRA,DF,Southampton,22-351,1999,1,35,6,10,21,6,0,35,0,0,,0,0,21,120,54,3,1,0,1,0,17,17,100,0,Matches
467,Raphaël Varane\9f8e9423,fr FRA,DF,Manchester Utd,28-289,1993,11.3,749,101,373,408,24,9,727,1,3,33.3,1,1,464,3283,1784,40,6,0,2,1,511,499,97.7,0,Matches
468,Jamie Vardy\45963054,eng ENG,FW,Leicester City,35-028,1987,14.7,292,11,23,126,164,72,266,8,13,61.5,9,0,160,1058,662,37,10,17,16,8,507,204,40.2,85,Matches
469,Joël Veltman\dad4b285,nl NED,DF,Brighton,30-024,1992,16.1,1090,89,396,499,259,14,944,8,18,44.4,9,1,610,2863,1241,44,12,1,11,8,651,613,94.2,10,Matches
470,Jannik Vestergaard\1900032e,dk DEN,DF,Leicester City,29-189,1992,6.3,435,97,265,176,8,3,425,3,3,100,3,0,283,1263,548,8,3,0,1,0,301,289,96,0,Matches
471,Nikola Vlašić\aa8e289e,hr CRO,FWMF,West Ham,24-127,1997,4,188,1,26,91,88,19,187,6,9,66.7,7,1,149,832,458,21,8,4,5,12,186,133,71.5,28,Matches
472,Matěj Vydra\0d4ceb32,cz CZE,FW,Burnley,29-283,1992,5,133,7,13,38,87,28,133,5,8,62.5,5,0,74,227,92,5,1,0,16,8,244,102,41.8,38,Matches
473,Theo Walcott\1ecb65be,eng ENG,MF,Southampton,32-329,1989,4.2,127,2,26,45,62,18,126,1,2,50,1,0,78,363,153,8,3,2,9,3,136,84,61.8,21,Matches
474,Kyle Walker\86dd77d1,eng ENG,DF,Manchester City,31-256,1990,13.5,1246,33,250,807,265,12,1137,5,9,55.6,6,0,905,3739,1537,59,28,4,9,4,995,952,95.7,17,Matches
475,Kyle Walker-Peters\984a5a64,eng ENG,DF,Southampton,24-301,1997,14,799,46,202,382,277,38,680,19,30,63.3,19,0,497,3282,2135,105,32,13,15,22,488,442,90.6,42,Matches
476,Aaron Wan-Bissaka\9e525177,eng ENG,DF,Manchester Utd,24-074,1997,14.9,1014,61,343,468,275,16,889,26,41,63.4,26,4,662,3106,1826,74,27,4,8,17,693,626,90.3,27,Matches
477,Joel Ward\8a7ff278,eng ENG,DF,Crystal Palace,32-102,1989,21,1510,111,607,706,277,10,1274,11,19,57.9,12,0,854,4098,2171,67,23,1,8,18,910,874,96,10,Matches
478,James Ward-Prowse\3515d404,eng ENG,MF,Southampton,27-099,1994,19.7,1262,52,242,680,390,17,1072,12,17,70.6,12,0,679,2434,1111,52,16,2,8,23,759,694,91.4,26,Matches
479,Ollie Watkins\aed3a70f,eng ENG,FW,Aston Villa,26-040,1995,17,631,16,41,274,351,102,616,19,37,51.4,20,0,398,1688,1012,65,16,23,36,51,830,473,57,143,Matches
480,Adam Webster\c40b6180,eng ENG,DF,Brighton,27-035,1995,11,953,83,489,466,94,7,929,6,7,85.7,6,0,626,3792,2429,61,21,2,2,4,684,675,98.7,2,Matches
481,Wout Weghorst\c4e87b8b,nl NED,FW,Burnley,29-185,1992,1,41,3,4,21,16,3,41,1,3,33.3,1,0,17,26,5,0,0,0,5,0,70,31,44.3,11,Matches
482,Danny Welbeck\ce5143da,eng ENG,FWMF,Brighton,31-074,1990,4.5,145,3,10,50,93,27,144,4,9,44.4,5,0,91,375,216,14,2,5,14,14,186,107,57.5,31,Matches
483,Timo Werner\49fe9070,de GER,FW,Chelsea,25-339,1996,6.4,232,1,19,88,145,56,226,5,17,29.4,7,1,182,1104,645,30,6,14,17,9,302,175,57.9,53,Matches
484,Ashley Westwood\495945ef,eng ENG,MF,Burnley,31-313,1990,16.8,948,35,167,558,262,15,847,6,11,54.5,6,0,523,2039,937,25,14,1,15,8,628,572,91.1,18,Matches
485,Ben White\35e413f1,eng ENG,DF,Arsenal,24-123,1997,19,1183,149,578,612,81,8,1142,6,14,42.9,7,2,782,4353,2434,49,15,2,6,9,797,787,98.7,1,Matches
486,Brandon Williams\5e74d6c8,eng ENG,DF,Norwich City,21-158,2000,14.6,907,69,314,429,241,22,787,11,26,42.3,13,0,545,2982,1678,59,23,6,19,19,551,515,93.5,25,Matches
487,Neco Williams\dd323728,wls WAL,DF,Liverpool,20-301,2001,0.1,8,0,2,2,4,1,7,2,2,100,2,0,8,34,22,2,0,1,0,0,7,7,100,2,Matches
488,Joe Willock\a3b03921,eng ENG,MF,Newcastle Utd,22-172,1999,12.7,482,16,133,226,165,30,473,14,38,36.8,18,3,347,2226,1256,47,17,8,9,21,344,283,82.3,28,Matches
489,Callum Wilson\c596fcb0,eng ENG,FW,Newcastle Utd,29-346,1992,13.2,317,13,37,138,164,55,300,14,23,60.9,16,0,184,648,355,19,7,11,52,26,556,219,39.4,46,Matches
490,Harry Winks\2f7acede,eng ENG,MF,Tottenham,26-006,1996,5.8,432,16,101,261,99,3,409,4,6,66.7,4,0,306,1516,694,28,10,1,2,8,327,318,97.2,7,Matches
491,Yoane Wissa\2500cef9,cd COD,FWMF,Brentford,25-158,1996,5.5,161,2,21,72,78,16,159,6,6,100,6,2,101,526,266,19,6,1,10,7,224,108,48.2,32,Matches
492,Chris Wood\4e9a0555,nz NZL,FW,Burnley,30-063,1991,15.2,450,10,26,201,235,51,442,5,9,55.6,5,0,194,632,257,17,6,2,51,15,782,355,45.4,90,Matches
493,Chris Wood\4e9a0555,nz NZL,FW,Newcastle Utd,30-063,1991,2,82,0,6,44,35,11,81,1,3,33.3,1,0,42,119,63,3,3,0,9,3,82,68,82.9,13,Matches
494,Freddie Woodman\19e50035,eng ENG,GK,Newcastle Utd,24-341,1997,4,128,123,128,0,0,0,79,0,0,,0,0,54,350,215,0,0,0,0,0,49,49,100,0,Matches
495,Granit Xhaka\e61b8aee,ch SUI,MF,Arsenal,29-134,1992,9.2,577,24,121,361,120,14,561,5,8,62.5,5,0,368,1716,888,44,6,2,7,6,424,402,94.8,16,Matches
496,Andriy Yarmolenko\849c826a,ua UKR,FWMF,West Ham,32-108,1989,1.1,67,1,8,20,42,10,67,1,4,25,3,0,47,296,180,8,3,4,1,3,70,53,75.7,11,Matches
497,Ashley Young\be927d03,eng ENG,FWDF,Aston Villa,36-214,1985,8.1,368,19,93,177,122,14,327,5,8,62.5,6,1,219,1052,682,28,8,4,9,5,288,240,83.3,28,Matches
498,Wilfried Zaha\b2bc3b1f,ci CIV,FW,Crystal Palace,29-090,1992,15.5,793,6,78,381,412,74,777,34,75,45.3,36,6,673,3391,2067,119,39,28,58,75,863,601,69.6,117,Matches
499,Oleksandr Zinchenko\51cf8561,ua UKR,DF,Manchester City,25-055,1996,5.6,527,10,90,296,180,3,484,2,4,50,2,0,371,1874,1029,56,25,0,4,2,404,391,96.8,6,Matches
500,Hakim Ziyech\6622454d,ma MAR,FWMF,Chelsea,28-326,1993,8.7,534,8,48,223,291,44,514,19,30,63.3,19,4,425,1994,975,56,18,13,15,19,469,387,82.5,75,Matches
501,Kurt Zouma\ce4246f5,fr FRA,DF,West Ham,27-104,1994,11.8,539,111,304,242,23,10,525,0,0,,0,0,292,1620,821,16,4,0,3,0,322,313,97.2,3,Matches
502,Martin Ødegaard\79300479,no NOR,MF,Arsenal,23-053,1998,14.5,870,8,127,449,354,36,808,8,16,50,8,0,600,2937,1482,85,29,4,21,26,734,641,87.3,61,Matches
