Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,carriesin_3rd,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
363,Marcus Rashford\a1d5bd30,eng ENG,FWMF,Manchester Utd,24-100,1997,7.2,323,6,35,131,181,42,321,14,32,43.8,17,3,222,1162,702,34,10,8,13,12,406,264,65,73,Matches
364,Milot Rashica\6c6a3300,xk KVX,FWMF,Norwich City,25-225,1996,11.7,484,14,91,198,237,29,429,12,38,31.6,15,3,310,2273,1498,57,21,10,24,23,421,282,67,53,Matches
365,David Raya\98ea5115,es ESP,GK,Brentford,26-146,1995,9,433,351,430,5,0,0,327,0,0,,0,0,218,1116,585,0,0,0,1,0,216,215,99.5,0,Matches
366,Nathan Redmond\ab651565,eng ENG,MFFW,Southampton,27-339,1994,14.9,667,20,88,300,334,37,638,16,30,53.3,19,3,451,2976,1678,90,37,11,19,16,611,461,75.5,74,Matches
367,Sergio Reguilón\3353737a,es ESP,DF,Tottenham,25-054,1996,15.1,920,56,239,391,340,40,801,15,40,37.5,15,4,556,2504,1361,68,27,6,19,17,610,531,87,52,Matches
368,Declan Rice\1c7012b8,eng ENG,MF,West Ham,23-025,1999,22,1444,87,426,908,283,35,1430,22,36,61.1,25,2,1029,7901,4147,163,64,12,13,19,1033,985,95.4,20,Matches
369,Taylor Richards\e0243d23,eng ENG,MFFW,Brighton,21-066,2000,0.3,31,0,3,14,16,0,31,0,1,0,1,0,26,123,59,3,2,0,0,1,29,26,89.7,4,Matches
370,Richarlison\fa031b34,br BRA,FWMF,Everton,24-274,1997,11.3,377,10,46,151,199,58,369,13,29,44.8,15,1,252,1098,585,34,8,5,36,26,470,247,52.6,53,Matches
371,Jaïro Riedewald\7a1f2c08,nl NED,MF,Crystal Palace,25-152,1996,1.3,66,2,19,39,15,1,61,0,2,0,0,0,43,187,73,4,2,0,1,1,46,41,89.1,3,Matches
372,Matt Ritchie\71ef519e,sct SCO,DF,Newcastle Utd,32-151,1989,14.6,803,45,255,329,251,10,623,3,5,60,3,1,388,1498,697,29,9,0,7,4,416,384,92.3,11,Matches
373,Connor Roberts\24fae784,wls WAL,DF,Burnley,26-138,1995,2.2,125,16,32,59,36,1,94,3,3,100,3,0,58,349,187,12,2,0,0,0,54,48,88.9,1,Matches
374,Tyler Roberts\6c17e046,wls WAL,MFFW,Leeds United,23-027,1999,9.8,403,10,68,193,180,48,388,8,21,38.1,8,0,289,1656,757,40,16,9,18,12,397,278,70,77,Matches
375,Andrew Robertson\2e4f5f03,sct SCO,DF,Liverpool,27-334,1994,15.5,1387,49,284,666,515,60,1194,11,19,57.9,12,1,867,3873,2339,107,34,6,10,10,1024,935,91.3,81,Matches
376,Joe Rodon\8d62d31a,wls WAL,DF,Tottenham,24-109,1997,0.9,31,10,18,14,1,0,31,0,0,,0,0,16,49,5,0,0,0,0,0,17,15,88.2,0,Matches
377,Rodri\6434f10d,es ESP,MF,Manchester City,25-231,1996,18.4,1708,57,335,1080,399,30,1689,8,16,50,9,1,1211,4935,2430,110,25,3,5,16,1377,1329,96.5,35,Matches
378,Rodrigo\1fb1c435,es ESP,MFFW,Leeds United,30-339,1991,11.3,501,15,66,256,216,42,476,11,24,45.8,11,0,347,1675,742,45,19,6,30,19,506,365,72.1,91,Matches
379,Jay Rodriguez\4ab53cdb,eng ENG,FW,Burnley,32-194,1989,5.3,158,5,25,70,73,20,158,3,6,50,3,0,72,445,175,10,3,0,6,6,238,106,44.5,31,Matches
380,Mads Roerslev\57c94db2,dk DEN,DF,Brentford,22-229,1999,9.1,326,30,123,119,95,7,316,2,13,15.4,5,0,169,629,267,14,3,1,6,6,224,171,76.3,16,Matches
381,Cristian Romero\a3d94a58,ar ARG,DF,Tottenham,23-287,1998,5.9,390,55,214,190,12,3,383,0,0,,0,0,249,1331,681,10,3,0,3,1,254,248,97.6,2,Matches
382,Oriol Romeu\4b511457,es ESP,MF,Southampton,30-137,1991,19.2,1170,59,292,710,238,23,1151,16,24,66.7,16,0,726,3383,1816,87,22,2,20,9,767,727,94.8,24,Matches
383,Cristiano Ronaldo\dea698d9,pt POR,FW,Manchester Utd,37-003,1985,16.2,691,20,50,330,344,106,666,9,20,45,11,0,417,2064,1217,86,20,23,24,19,887,563,63.5,134,Matches
384,Salomón Rondón\b318a643,ve VEN,FW,Everton,32-145,1989,7.9,247,13,25,110,116,41,241,2,6,33.3,2,0,113,414,165,8,1,1,16,8,359,171,47.6,39,Matches
385,Danny Rose\89d10e53,eng ENG,DF,Watford,31-221,1990,7.7,409,34,138,180,112,4,305,9,15,60,9,2,175,833,508,25,8,0,4,6,192,173,90.1,6,Matches
386,Jon Rowe\8c12f884,eng ENG,FWMF,Norwich City,18-284,2003,0.4,15,1,4,2,10,1,15,1,2,50,2,0,10,27,16,2,0,1,1,0,16,9,56.3,2,Matches
387,Antonio Rüdiger\18b896d6,de GER,DF,Chelsea,28-342,1993,23,1754,153,723,956,209,32,1711,4,6,66.7,4,0,1234,5713,3391,108,41,2,5,12,1379,1342,97.3,11,Matches
388,Lukas Rupp\3faa1780,de GER,MF,Norwich City,31-031,1991,5.3,336,20,89,174,99,12,333,6,7,85.7,6,0,239,1111,519,28,10,0,9,12,247,226,91.5,16,Matches
389,José Sá\903b6e8b,pt POR,GK,Wolves,29-022,1993,21,643,598,638,5,0,0,455,1,1,100,1,0,290,1820,1046,0,0,0,0,0,186,186,100,0,Matches
390,Allan Saint-Maximin\2b16cb1a,fr FRA,FWMF,Newcastle Utd,24-333,1997,19.9,791,5,72,406,446,93,770,89,148,60.1,97,2,751,5188,3341,157,64,36,50,76,813,597,73.4,82,Matches
391,Romain Saïss\9fbbcf39,ma MAR,DF,Wolves,31-319,1990,18.4,1238,177,694,530,65,21,1210,1,2,50,1,0,694,2936,1530,40,9,1,2,4,804,787,97.9,3,Matches
392,Bukayo Saka\bc7dc64d,eng ENG,FWMF,Arsenal,20-156,2001,17.5,890,15,107,362,494,106,851,32,60,53.3,32,3,683,4032,2691,141,37,28,43,36,903,665,73.6,127,Matches
393,Mohamed Salah\e342ad68,eg EGY,FW,Liverpool,29-238,1992,19.8,959,2,41,303,670,200,951,36,80,45,43,1,722,3196,1983,128,22,47,51,48,1240,801,64.6,234,Matches
394,Mohammed Salisu\0b33f6ad,gh GHA,DF,Southampton,22-297,1999,20,1356,181,669,663,107,20,1287,7,11,63.6,7,0,724,4573,2199,66,9,0,5,9,732,714,97.5,3,Matches
395,Albert Sambi Lokonga\1b4f1169,be BEL,MF,Arsenal,22-109,1999,10.1,701,28,192,403,147,2,684,3,4,75,3,0,475,2884,1603,66,12,0,9,5,525,507,96.6,9,Matches
396,Davinson Sánchez\da7b447d,co COL,DF,Tottenham,25-241,1996,12.3,825,99,391,414,79,17,809,2,3,66.7,2,0,518,2876,1547,60,10,0,0,5,579,563,97.2,4,Matches
397,Robert Sánchez\6a713852,es ESP,GK,Brighton,24-082,1997,21,965,748,957,10,0,0,797,0,0,,0,0,558,2467,1389,0,0,0,0,0,572,572,100,0,Matches
398,Jadon Sancho\dbf053da,eng ENG,FWMF,Manchester Utd,21-320,2000,10.4,622,12,88,273,327,43,607,19,34,55.9,20,5,470,2889,1883,100,35,20,22,25,601,492,81.9,63,Matches
399,Morgan Sanson\6e7f1353,fr FRA,MF,Aston Villa,27-174,1994,2.5,156,4,35,97,38,1,156,3,3,100,3,0,120,764,396,19,5,0,3,6,116,100,86.2,3,Matches
400,Samir Santos\92b4758e,br BRA,DF,Watford,27-065,1994,3,184,15,114,80,6,4,179,0,1,0,0,1,98,502,264,5,1,1,0,2,110,108,98.2,1,Matches
401,Josh Sargent\a8d4428b,us USA,FWMF,Norwich City,21-353,2000,11.9,449,22,76,186,209,50,441,11,20,55,11,0,263,1428,660,27,11,3,30,29,473,278,58.8,65,Matches
402,Jeremy Sarmiento\ac0d576d,ec ECU,FW,Brighton,19-237,2002,0.2,16,2,6,7,4,0,16,1,1,100,1,0,11,103,65,1,0,0,1,1,9,8,88.9,1,Matches
403,Ismaila Sarr\bfdb33aa,sn SEN,MFFW,Watford,23-348,1998,11.4,445,4,62,176,254,57,440,20,35,57.1,22,4,349,2377,1629,79,28,19,40,35,511,337,65.9,77,Matches
404,Malang Sarr\4315f30d,fr FRA,DF,Chelsea,23-016,1999,3,239,25,113,130,10,0,228,0,1,0,0,0,154,608,290,6,1,0,0,0,164,162,98.8,0,Matches
405,Fabian Schär\c8aa95da,ch SUI,DF,Newcastle Utd,30-050,1991,10.8,526,99,325,218,31,8,496,3,5,60,3,0,284,1826,1168,24,6,0,2,2,289,279,96.5,2,Matches
406,Jeffrey Schlupp\3312f911,gh GHA,MFFW,Crystal Palace,29-047,1992,8.6,375,19,83,189,122,33,372,13,25,52,14,3,222,1144,616,26,2,4,16,16,286,230,80.4,25,Matches
